"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\geo\AddressServiceModel.java", "Java", 14, 0, 3, 17
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\geo\LocationServiceModel.java", "Java", 18, 0, 3, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\offer\OfferServiceModel.java", "Java", 21, 0, 3, 24
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\user\AuthorizedUserServiceModel.java", "Java", 42, 1, 7, 50
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\AccountService.java", "Java", 9, 0, 6, 15
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\AdminService.java", "Java", 11, 0, 5, 16
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\AsyncUserLogger.java", "Java", 14, 1, 10, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\EmailService.java", "Java", 5, 0, 3, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\InitialStateService.java", "Java", 5, 0, 3, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\LocationService.java", "Java", 6, 0, 3, 9
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\MakerService.java", "Java", 17, 0, 10, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\MediaFileService.java", "Java", 31, 0, 11, 42
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\OfferService.java", "Java", 14, 0, 5, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\PasswordService.java", "Java", 13, 0, 10, 23
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\RestErrorService.java", "Java", 13, 0, 7, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\StorageService.java", "Java", 15, 0, 7, 22
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\ThumbnailService.java", "Java", 8, 0, 6, 14
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\UserService.java", "Java", 20, 0, 11, 31
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\AccountServiceImpl.java", "Java", 144, 2, 15, 161
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\AdminServiceImpl.java", "Java", 158, 1, 12, 171
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\AsyncUserLoggerImpl.java", "Java", 63, 0, 11, 74
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\DatabaseFileStorageService.java", "Java", 51, 0, 9, 60
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\DropboxService.java", "Java", 94, 0, 12, 106
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\EmailServiceImpl.java", "Java", 76, 2, 12, 90
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\InitialStateServiceImpl.java", "Java", 75, 0, 15, 90
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\LocalFolderStorageService.java", "Java", 93, 0, 13, 106
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\LocationServiceImpl.java", "Java", 17, 0, 5, 22
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\MakerServiceImpl.java", "Java", 96, 1, 11, 108
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\MediaFileServiceImpl.java", "Java", 192, 0, 16, 208
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\OfferServiceImpl.java", "Java", 141, 2, 10, 153
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\PasswordServiceImpl.java", "Java", 138, 2, 11, 151
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\RestErrorServiceImpl.java", "Java", 192, 10, 11, 213
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\ThumbnailServiceImpl.java", "Java", 52, 0, 10, 62
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\services\impl\UserServiceImpl.java", "Java", 169, 3, 15, 187
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\validations\FieldValidator.java", "Java", 37, 0, 7, 44
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\validations\annotations\Required.java", "Java", 8, 0, 3, 11
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\Assert.java", "Java", 87, 36, 19, 142
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\ClassUtils.java", "Java", 130, 0, 29, 159
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\Clock.java", "Java", 8, 0, 4, 12
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\Collect.java", "Java", 145, 0, 37, 182
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\DebugProfileUtil.java", "Java", 27, 0, 8, 35
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\DropboxUtil.java", "Java", 29, 130, 24, 183
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\EnumUtils.java", "Java", 38, 0, 10, 48
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\F.java", "Java", 339, 8, 88, 435
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\GeoLocationUtils.java", "Java", 64, 5, 14, 83
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\ImageResizer.java", "Java", 91, 1, 23, 115
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\ImageUtil.java", "Java", 41, 1, 13, 55
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\JsonParser.java", "Java", 5, 0, 4, 9
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\JsonParserImpl.java", "Java", 18, 0, 6, 24
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\ModelMapperWrapper.java", "Java", 12, 43, 8, 63
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\ModelMapperWrapperImpl.java", "Java", 39, 0, 10, 49
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\ObjectConverter.java", "Java", 80, 81, 25, 186
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\PaginationHeadersUtils.java", "Java", 19, 0, 5, 24
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\ReflectionUtil.java", "Java", 83, 2, 18, 103
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\StringGenericUtils.java", "Java", 81, 0, 13, 94
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\TimeUtils.java", "Java", 74, 2, 19, 95
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\util\UIDUtil.java", "Java", 31, 0, 9, 40
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\ValidationMessages.java", "Java", 38, 0, 28, 66
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\Validators.java", "Java", 34, 0, 9, 43
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\account\AccountTypeValidator.java", "Java", 20, 0, 7, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\account\ValidAccountType.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\maker\MakerName.java", "Java", 25, 0, 8, 33
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\maker\ModelName.java", "Java", 25, 0, 8, 33
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\maker\UniqueMakerName.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\maker\UniqueMakerNameValidator.java", "Java", 14, 0, 5, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\BodyStyleValidator.java", "Java", 20, 0, 7, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ColorValidator.java", "Java", 20, 0, 7, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\DriveValidator.java", "Java", 20, 0, 7, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\FeatureListValidator.java", "Java", 22, 0, 7, 29
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\FuelTypeValidator.java", "Java", 20, 0, 6, 26
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ModelDataValidator.java", "Java", 25, 0, 8, 33
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\NumberValidator.java", "Java", 13, 0, 5, 18
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\StateValidator.java", "Java", 20, 0, 7, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\TransmissionValidator.java", "Java", 20, 0, 7, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidBodyStyle.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidColor.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidDrive.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidFeatureList.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidFuelType.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidModelData.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidNumber.java", "Java", 19, 0, 8, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidState.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\offer\ValidTransmission.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\user\SellerValidator.java", "Java", 20, 0, 7, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\validation\user\ValidSeller.java", "Java", 18, 0, 7, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\AccountController.java", "Java", 75, 0, 8, 83
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\AdminController.java", "Java", 51, 0, 7, 58
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\AuthenticationController.java", "Java", 201, 4, 16, 221
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\BaseController.java", "Java", 23, 0, 7, 30
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\HealthCheckController.java", "Java", 29, 0, 7, 36
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\HomeController.java", "Java", 35, 0, 7, 42
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\ImageFetchController.java", "Java", 64, 0, 8, 72
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\MakerController.java", "Java", 94, 0, 11, 105
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\MediaController.java", "Java", 26, 43, 10, 79
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\OfferController.java", "Java", 32, 1, 6, 39
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\SearchController.java", "Java", 57, 0, 6, 63
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\UserController.java", "Java", 78, 2, 8, 88
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\controllers\ValidationController.java", "Java", 38, 1, 9, 48
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\enums\ActionStatus.java", "Java", 7, 0, 2, 9
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\enums\ActionType.java", "Java", 8, 0, 2, 10
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\enums\RestMessage.java", "Java", 66, 0, 7, 73
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\enums\RestStatus.java", "Java", 5, 0, 2, 7
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\interseptors\SimpleLoggingInterceptor.java", "Java", 35, 0, 5, 40
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\FilterRequest.java", "Java", 36, 1, 3, 40
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\LoginOrRegisterRequest.java", "Java", 14, 0, 3, 17
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\MakerCreateRequestModel.java", "Java", 14, 0, 3, 17
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\ModelCreateRequestModel.java", "Java", 17, 0, 4, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\PasswordReset.java", "Java", 16, 0, 4, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\PasswordResetRequest.java", "Java", 16, 1, 3, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\UserChangePasswordRequest.java", "Java", 17, 0, 5, 22
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\UserDetailsUpdateRequest.java", "Java", 18, 1, 5, 24
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\UserLoginRequest.java", "Java", 16, 1, 4, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\UserRegisterRequest.java", "Java", 17, 2, 5, 24
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\account\AccountCreateRequest.java", "Java", 22, 1, 3, 26
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\account\AccountWrapper.java", "Java", 10, 0, 3, 13
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\account\DealerAccountCreateUpdateRequest.java", "Java", 21, 0, 3, 24
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\account\PrivateAccountCreateUpdateRequest.java", "Java", 19, 0, 3, 22
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\offer\OfferCreateRequest.java", "Java", 32, 1, 7, 40
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\request\offer\VehicleCreateRequest.java", "Java", 44, 0, 9, 53
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\ActionStatusResponse.java", "Java", 22, 0, 4, 26
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\MakerResponseModel.java", "Java", 14, 0, 5, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\MakerResponseWrapper.java", "Java", 18, 0, 3, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\ModelResponseModel.java", "Java", 15, 0, 3, 18
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\ModelTrimsResponseModel.java", "Java", 20, 0, 3, 23
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\ResponseWrapper.java", "Java", 31, 0, 8, 39
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\TrimResponseModel.java", "Java", 16, 0, 3, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\offer\OfferResponseModel.java", "Java", 23, 0, 3, 26
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\response\user\AuthorizedUserResponseModel.java", "Java", 13, 0, 3, 16
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\models\wrappers\ListWrapper.java", "Java", 15, 0, 3, 18
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\util\RestUtil.java", "Java", 52, 0, 13, 65
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\validations\annotations\MatchingFieldsConstraint.java", "Java", 14, 0, 7, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\web\validations\annotations\MatchingFieldsValidator.java", "Java", 68, 18, 8, 94
"Total", "-", 9354, 557, 2056, 11967